notification_delay,n,p
0,7685,0.10151915455746367
1,38725,0.5115587846763541
2,18487,0.24421400264200793
3,6516,0.08607661822985468
4,2116,0.02795244385733157
5,818,0.010805812417437253
6,339,0.0044782034346103035
7,142,0.0018758256274768825
8,104,0.0013738441215323646
9,56,7.397622192866579e-4
10,40,5.284015852047556e-4
11,19,2.509907529722589e-4
12,24,3.1704095112285337e-4
13,11,1.453104359313078e-4
