scenario,priority_type,priority_growth_rate,capacity,max,capacity_ratio,tracing_delay,vaccinated,priority,samples_isol_swab,samples_test_turnaround_time,samples_time_to_interview
optimal_vaccine_priority_new_swab_delay_zero_capacity70pc_max_5d,vaccine_priority_new_swab,delay_zero,capacity70pc,max_5d,0.7,4,TRUE,TRUE,0,0,4
optimal_vaccine_priority_new_swab_delay_zero_capacity70pc_max_5d,vaccine_priority_new_swab,delay_zero,capacity70pc,max_5d,0.7,6,TRUE,TRUE,0,1,5
optimal_vaccine_priority_new_swab_delay_zero_capacity70pc_max_5d,vaccine_priority_new_swab,delay_zero,capacity70pc,max_5d,0.7,4,TRUE,FALSE,0,1,3
optimal_vaccine_priority_new_swab_delay_zero_capacity70pc_max_5d,vaccine_priority_new_swab,delay_zero,capacity70pc,max_5d,0.7,5,TRUE,FALSE,0,2,3
optimal_vaccine_priority_new_swab_delay_zero_capacity70pc_max_5d,vaccine_priority_new_swab,delay_zero,capacity70pc,max_5d,0.7,Inf,TRUE,FALSE,1,3,Inf
optimal_vaccine_priority_new_swab_delay_zero_capacity70pc_max_5d,vaccine_priority_new_swab,delay_zero,capacity70pc,max_5d,0.7,Inf,TRUE,FALSE,1,2,Inf
